customer	value1	value2	value3	total
Lexmark	10.00	21.00	87.25	118.25
OGIS	0.50	25.25	82.00	107.75
Thales	6.50	36.00	15.00	57.50
NVIDIA		1.50	48.50	50.00
Airbus	5.50	21.50	21.25	48.25
Heidenhain	20.00	7.00	17.75	44.75
Brocade	7.00	5.00	25.25	37.25
Adobe	12.00	7.00	8.75	27.75
Wyse	4.50	2.50	19.00	26.00
Tableau		7.00	13.50	20.50
Baker Hughes		6.00	11.00	17.00
Software AG			16.75	16.75
MicrosoftScan		1.00	15.00	16.00
Tripwire		8.50	7.50	16.00
CableLabs	3.00		12.50	15.50
HP	1.25	6.50	5.75	13.50
Juniper		6.50	5.75	12.25
Palamida	1.00		10.00	11.00
Tableau			10.50	10.50
Prudential		5.00	4.75	9.75
Facebook	6.50	2.50		9.00
Rovio	4.00	2.00	2.00	8.00
Aujas		3.00	4.50	7.50
dtcc		0.50	6.00	6.50
ABBYY		3.00	3.00	6.00
Thales e-Security			6	6.00
Nielsen			5.50	5.50
Mulesoft			5.25	5.25
Nokia	5.00			5.00
JLR		1.00	4.00	5.00
Synopsys			5	5.00
Microsoft		2.50	2.00	4.50
Siemens		2.00	2.00	4.00
Gemalto	4.00			4.00
Raytheon		2.00	1.75	3.75
Advanced Micro Devices			3.50	3.50
RSA	2.00		1.50	3.50
EMC		3.25		3.25
Nielsen		3.00		3.00
Calix	2.00		1.00	3.00
NOV		0.50	2.00	2.50
Cadence		1.50	0.50	2.00
Cassidian			2.00	2.00
Wells Fargo		2.00		2.00
F5		2.00		2.00
Mitre	1.50	0.25		1.75
SugarCRM			1.50	1.50
Howie@palamida.com			1.50	1.50
Harmonic			1.25	1.25
CGI	1.00			1.00
Medicision			1.00	1.00
Qlogic			1.00	1.00
2K			1.00	1.00
Baker-Hughes		1.00		1.00
Northrop Grumman			0.75	0.75
Western Digital	0.50		0.25	0.75
Raytheon			0.50	0.50
AMasluk@palamida.com			0.25	0.25
