id	name	rate
1000	Alabama	22.2
1001	Autauga	27.4
1003	Baldwin	19.6
1005	Barbour	20.8
1007	Bibb	42.4
1009	Blount	35.6
1011	Bullock	26.6
1013	Butler	44.2
1015	Calhoun	39.8
1017	Chambers	28.7
1019	Cherokee	34.7
1021	Chilton	31.6
1023	Choctaw	33.7
1025	Clarke	31
1027	Clay	35.3
1029	Cleburne	28.9
1031	Coffee	27.6
1033	Colbert	27.9
1035	Conecuh	25.8
1037	Coosa	43.4
1039	Covington	30.9
1041	Crenshaw	29.2
1043	Cullman	31.3
1045	Dale	22.6
1047	Dallas	28.2
1049	De Kalb	49.6
1051	Elmore	30.3
1053	Escambia	20.2
1055	Etowah	37.1
1057	Fayette	28.1
1059	Franklin	29.6
1061	Geneva	36.3
1063	Greene	38.2
1065	Hale	50.5
1067	Henry	38.8
1069	Houston	28.7
1071	Jackson	30.1
1073	Jefferson	28.1
1075	Lamar	26.8
1077	Lauderdale	30.8
1079	Lawrence	24.5
1081	Lee	26.2
1083	Limestone	21.8
1085	Lowndes	21.2
1087	Macon	53.1
1089	Madison	46.4
1091	Marengo	19.6
1093	Marion	50
1095	Marshall	30.5
1097	Mobile	29.5
1099	Monroe	31.3
1101	Montgomery	39.1
1103	Morgan	33
1105	Perry	25.1
1107	Pickens	52.6
1109	Pike	36.3
1111	Randolph	34.8
1113	Russell	34.1
1115	St. Clair	34
1117	Shelby	20.7
1119	Sumter	11.2
1121	Talladega	48.8
1123	Tallapoosa	28.9
1125	Tuscaloosa	36.3
1127	Walker	23.4
1129	Washington	32.2
1131	Wilcox	29.2
1133	Winston	50.1
2000	Alaska	33.9
2013	Aleutians East	13.6
2016	Aleutians West	13.3
2020	Anchorage	7.6
2050	Bethel	10.2
2060	Bristol Bay	30.8
2068	Denali	10.4
2070	Dillingham	3.9
2090	Fairbanks North Star	28.6
2100	Haines	11.2
2110	Juneau	17.8
2122	Kenai Peninsula	29.1
2130	Ketchikan Gateway	9.7
2150	Kodiak Island	13.9
2164	Lake and Peninsula	14.3
2170	Matanuska-Susitna	9.8
2180	Nome	24.4
2185	North Slope	12
2188	Northwest Arctic	28.4
2201	Prince of Wales-Outer Ketchikan	16.7
2220	Sitka	28.6
2232	Skagway-Hoonah-Angoon	13
2240	Southeast Fairbanks	24.1
2261	Valdez-Cordova	12.6
2270	Wade Hampton	5.6
2280	Wrangell-Petersburg	21.3
2282	Yakutat	10.9
2290	Yukon-Koyukuk	42.4
4000	Arizona	20.7
4001	Apache	26.8
4003	Cochise	30.1
4005	Coconino	26.6
4007	Gila	49.3
4009	Graham	29.1
4011	Greenlee	28.1
4012	La Paz	36.5
4013	Maricopa	26.8
4015	Mohave	13.8
4017	Navajo	36.9
4019	Pima	25.1
4021	Pinal	34
4023	Santa Cruz	43.1
4025	Yavapai	26.5
4027	Yuma	24.3
5000	Arkansas	34.7
5001	Arkansas	24.4
5003	Ashley	29.4
5005	Baxter	28.3
5007	Benton	29.6
5009	Boone	35.4
5011	Bradley	27
5013	Calhoun	17.1
5015	Carroll	26.5
5017	Chicot	39.8
5019	Clark	25.9
5021	Clay	36.7
5023	Cleburne	46.6
5025	Cleveland	31.1
5027	Columbia	29.5
5029	Conway	26.4
5031	Craighead	26
5033	Crawford	32.1
5035	Crittenden	33.1
5037	Cross	28.9
5039	Dallas	27.9
5041	Desha	36.1
5043	Drew	31.3
5045	Faulkner	36.9
5047	Franklin	47.5
5049	Fulton	32.7
5051	Garland	19.7
5053	Grant	31.2
5055	Greene	40.1
5057	Hempstead	35.1
5059	Hot Spring	21.5
